data,resid,prediction Volatility ARIMA-LSTM(Random_Forest),Prediction Volatility ARIMA-GARCH,true Volatility
2020-03-01,6359.847325225154,27.78745518790217,,
2020-04-01,126.07368991080818,29.319519747290837,,-11.228254090053724
2020-05-01,3443.5656017616666,29.515134122255095,,58.68190182468243
2020-06-01,0.017915264853412285,29.50748017774524,,-0.13384791688110909
2020-07-01,3.8474137606057472,29.50085309222105,,1.9614825414990946
2020-08-01,2.081827903588817,29.49901876923125,,-1.4428540825699656
2020-09-01,0.04825089659753182,29.498758661778933,,-0.21966086724205525
2020-10-01,15.652981749550577,29.498738305543533,,-3.9563849344509663
2020-11-01,25.43695243596043,29.49874056734747,,5.043505966682346
2020-12-01,8.159560001265588,29.4987428291514,,2.856494355195821
2021-01-01,43.76883541143471,29.4987428291514,,6.61580194771841
2021-02-01,59.34029381824507,29.4987428291514,,7.703265140071778
2021-03-01,72.08263776271662,29.4987428291514,,8.490149454674906
2021-04-01,22.961495721280453,29.4987428291514,,4.791815493242666
2021-05-01,44.05173148541306,29.4987428291514,,6.637147842666536
2021-06-01,0.11957095824595573,29.4987428291514,,0.3457903385665304
2021-07-01,0.14558077849483866,29.4987428291514,,0.38155049271995267
2021-08-01,5.561834563381914,29.4987428291514,,-2.3583542065139227
2021-09-01,8.717319310851993,29.4987428291514,,-2.9525106792104907
2021-10-01,36.9065863778784,29.4987428291514,,-6.075079125236016
2021-11-01,39.598471180442694,29.4987428291514,,6.292731615160676
2021-12-01,8.103417763554516,29.4987428291514,,2.8466502706785946
2022-01-01,31.62576671557019,29.4987428291514,,5.623679108516967
2022-02-01,4.705098825222632,29.4987428291514,,-2.169123976452852
2022-03-01,24.953320461315204,29.4987428291514,,4.9953298651155364
2022-04-01,3.1154887527781905,29.4987428291514,,1.765074715919468
2022-05-01,0.6662059195093374,29.4987428291514,,0.8162143833021673
2022-06-01,11.736030995766964,29.4987428291514,,3.4257891055590335
2022-07-01,0.6718400167304867,29.4987428291514,,-0.8196584756656193
2022-08-01,4.490087869968378,29.4987428291514,,2.118982744141249
2022-09-01,0.7058629507674353,29.4987428291514,,-0.8401565037345335
2022-10-01,21.352653582221638,29.4987428291514,,-4.620893158494539
2022-11-01,15.241035420348993,29.4987428291514,,3.9039768724147166
2022-12-01,35.885855874721095,29.4987428291514,,-5.99048043772126
2023-01-01,47.92907979265349,29.4987428291514,,-6.923083113227335
2023-02-01,200.31361669251214,29.4987428291514,,-14.153219304897107
2023-03-01,3.755512571709596,29.4987428291514,,-1.937914490298681
2023-04-01,0.975006857310174,29.4987428291514,,-0.9874243552344524
2023-05-01,0.971353796001868,29.4987428291514,,-0.9855728263308947
2023-06-01,0.33434211470333636,29.4987428291514,,-0.5782232395047231
2023-07-01,0.30761944495824883,29.4987428291514,,-0.5546345147556622
2023-08-01,2.7720106409968603,29.4987428291514,,-1.6649356266825635
2023-09-01,1.8194817868890603,29.4987428291514,,-1.348881680092461
2023-10-01,48.24683947675561,29.4987428291514,,-6.94599449155811
2023-11-01,1.1035378552002995,29.4987428291514,,1.0504941005071373
2023-12-01,71.19423461007793,29.4987428291514,,-8.437667604858461
